datum;celkovy_cas;aktualny_cas
2022-10-05T17:43Z;08:28;00:01
2022-10-05T17:43Z;08:29;00:01
2022-10-05T17:43Z;08:31;00:01
2022-10-05T17:43Z;08:33;00:01
2022-10-05T17:43Z;08:34;00:01
2022-10-05T17:43Z;08:36;00:01
2022-10-05T17:43Z;08:38;00:01
2022-10-05T17:43Z;08:40;00:01
2022-10-05T17:43Z;08:42;00:01
2022-10-05T17:43Z;08:44;00:01
2022-10-05T17:43Z;08:45;00:01
2022-10-05T17:43Z;08:47;00:01
2022-10-05T17:43Z;08:49;00:01
2022-10-05T17:43Z;08:51;00:01
2022-10-05T17:43Z;08:53;00:01
2022-10-05T17:43Z;08:55;00:01
2022-10-05T17:43Z;08:57;00:01
2022-10-05T17:43Z;08:59;00:01
2022-10-05T17:43Z;09:01;00:02
2022-10-05T17:43Z;09:03;00:01
2022-10-05T17:43Z;09:05;00:02
2022-10-05T17:43Z;09:07;00:02
2022-10-05T17:43Z;09:10;00:02
2022-10-05T17:43Z;09:12;00:01
2022-10-05T17:43Z;09:14;00:01
2022-10-05T17:43Z;09:15;00:01
2022-10-05T17:44Z;09:18;00:02
2022-10-05T17:44Z;09:19;00:01
2022-10-05T17:44Z;09:21;00:01
2022-10-05T17:44Z;09:23;00:01
2022-10-05T17:44Z;09:25;00:01
2022-10-05T17:44Z;09:27;00:01
2022-10-05T17:44Z;09:30;00:02
2022-10-05T17:44Z;09:32;00:01
2022-10-05T17:44Z;09:33;00:01
2022-10-05T17:44Z;09:35;00:01
2022-10-05T17:44Z;09:37;00:01
2022-10-05T17:44Z;09:39;00:01
2022-10-05T17:44Z;09:41;00:01
2022-10-05T17:44Z;09:42;00:01
2022-10-05T17:44Z;09:44;00:01
2022-10-05T17:44Z;09:46;00:01
2022-10-05T17:44Z;09:48;00:01
2022-10-05T17:44Z;09:49;00:01
2022-10-05T17:44Z;09:51;00:01
2022-10-05T17:44Z;09:53;00:01
2022-10-05T17:44Z;09:55;00:01
2022-10-05T17:44Z;09:56;00:01
2022-10-05T17:44Z;09:58;00:01
2022-10-05T17:44Z;10:00;00:01
2022-10-05T17:44Z;10:02;00:01
2022-10-05T17:44Z;10:04;00:01
2022-10-05T17:44Z;10:05;00:01
2022-10-05T17:44Z;10:07;00:01
2022-10-05T17:44Z;10:09;00:01
2022-10-05T17:44Z;10:11;00:01
2022-10-05T17:44Z;10:12;00:01
2022-10-05T17:44Z;10:14;00:01
2022-10-05T17:44Z;10:16;00:01
2022-10-05T17:45Z;10:18;00:01
2022-10-05T17:45Z;10:19;00:01
2022-10-05T17:45Z;10:21;00:01
2022-10-05T17:45Z;10:23;00:01
2022-10-05T17:45Z;10:25;00:01
2022-10-05T17:45Z;10:27;00:01
2022-10-05T17:45Z;10:28;00:01
2022-10-05T17:45Z;10:30;00:01
2022-10-05T17:45Z;10:32;00:01
2022-10-05T17:45Z;10:34;00:01
2022-10-05T17:45Z;10:36;00:01
2022-10-05T17:45Z;10:37;00:01
2022-10-05T17:45Z;10:39;00:01
2022-10-05T17:45Z;10:41;00:01
2022-10-05T17:45Z;10:43;00:01
2022-10-05T17:45Z;10:44;00:01
2022-10-05T17:45Z;10:46;00:01
2022-10-05T17:45Z;10:48;00:01
2022-10-05T17:45Z;10:50;00:01
2022-10-05T17:45Z;10:51;00:01
2022-10-05T17:45Z;10:53;00:01
2022-10-05T17:45Z;10:55;00:01
2022-10-05T17:45Z;10:57;00:01
2022-10-05T17:45Z;10:59;00:01
2022-10-05T17:45Z;11:00;00:01
2022-10-05T17:45Z;11:02;00:01
2022-10-05T17:45Z;11:04;00:01
2022-10-05T17:45Z;11:06;00:01
2022-10-05T17:45Z;11:08;00:01
2022-10-05T17:45Z;11:09;00:01
2022-10-05T17:45Z;11:11;00:01
2022-10-05T17:45Z;11:13;00:01
2022-10-05T17:45Z;11:15;00:01
2022-10-05T17:45Z;11:16;00:01
2022-10-05T17:46Z;11:18;00:01
2022-10-05T17:46Z;11:20;00:01
2022-10-05T17:46Z;11:22;00:01
2022-10-05T17:46Z;11:23;00:01
2022-10-05T17:46Z;11:25;00:01
2022-10-05T17:46Z;11:27;00:01
2022-10-05T17:46Z;11:29;00:01
2022-10-05T17:46Z;11:30;00:01
2022-10-05T17:46Z;11:32;00:01
2022-10-05T17:46Z;11:34;00:01
2022-10-05T17:46Z;11:35;00:01
2022-10-05T17:46Z;11:37;00:01
2022-10-05T17:46Z;11:39;00:01
2022-10-05T17:46Z;11:41;00:01
2022-10-05T17:46Z;11:43;00:01
2022-10-05T17:46Z;11:44;00:01
2022-10-05T17:46Z;11:46;00:01
2022-10-05T17:46Z;11:48;00:01
